"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C480","2020-04-03 00:00:00","105.000","0.000","0.000","18.500","0.850","1007.300","","15.500","-99.000","-99.000","-99.000","21.700","","15.500",""
"C0S900","2020-04-03 00:00:00","27.000","62.000","2.400","23.500","0.740","1016.600","","3.000","-99.000","-99.000","-99.000","24.700","","21.000",""
"C0SA00","2020-04-03 00:00:00","466.000","307.000","1.100","18.100","0.990","966.600","","0.000","-99.000","-99.000","-99.000","22.300","","16.300",""
"C0V730","2020-04-03 00:00:00","33.000","337.000","0.400","23.200","0.890","1014.400","","0.000","-99.000","-99.000","-99.000","27.000","","20.700",""
"C0G730","2020-04-03 00:00:00","27.000","14.000","3.500","19.400","0.950","1015.900","","3.000","-99.000","-99.000","-99.000","21.400","","16.600",""
"C0Z300","2020-04-03 00:00:00","182.000","93.000","0.600","18.700","0.990","1000.700","","0.000","-99.000","-99.000","-99.000","23.400","","16.500",""
"C0H9A0","2020-04-03 00:00:00","1595.000","265.000","0.700","14.000","0.980","849.900","","5.000","-99.000","-99.000","-99.000","20.600","","12.300",""
"C0S840","2020-04-03 00:00:00","22.000","12.000","1.100","22.800","0.790","1018.200","","0.000","-99.000","-99.000","-99.000","24.600","","20.500",""
"C0Z150","2020-04-03 00:00:00","27.000","242.000","2.100","19.800","0.960","1017.500","","0.000","-99.000","-99.000","-99.000","21.800","","17.700",""
"C0W170","2020-04-03 00:00:00","42.000","7.000","4.700","12.900","0.890","1016.300","","10.000","-99.000","-99.000","-99.000","15.000","","12.400",""
"C0E540","2020-04-03 00:00:00","32.000","59.000","1.700","18.300","0.910","1015.800","","12.000","-99.000","-99.000","-99.000","21.700","","16.200",""
"C0D660","2020-04-03 00:00:00","65.000","60.000","0.600","18.600","0.850","1011.900","","21.000","-99.000","-99.000","-99.000","21.000","","15.800",""
"C0A9C0","2020-04-03 00:00:00","35.000","33.000","1.800","20.900","0.780","1015.800","","12.500","-99.000","-99.000","-99.000","21.600","","17.000",""
"C0X310","2020-04-03 00:00:00","9.000","17.000","4.400","21.200","0.850","1017.500","","0.000","-99.000","-99.000","-99.000","22.100","","18.200",""
"C0K280","2020-04-03 00:00:00","23.000","10.000","2.900","20.400","0.920","1017.600","","2.000","-99.000","-99.000","-99.000","23.100","","17.400",""
"C0M650","2020-04-03 00:00:00","20.000","6.000","2.700","20.300","0.900","1015.900","","2.000","-99.000","-99.000","-99.000","22.500","","17.100",""
"C0S910","2020-04-03 00:00:00","212.000","159.000","1.200","22.100","0.990","995.900","","0.000","6.600","166.000","","22.800","","19.700",""
"C0D570","2020-04-03 00:00:00","15.000","0.000","0.000","18.100","0.990","1017.900","","16.500","-99.000","-99.000","-99.000","21.800","","15.800",""
"C0M710","2020-04-03 00:00:00","15.000","8.000","3.400","20.500","0.870","1016.300","","1.000","-99.000","-99.000","-99.000","21.500","","17.500",""
"C0V490","2020-04-03 00:00:00","20.000","357.000","1.300","23.500","0.800","1015.600","","0.000","-99.000","-99.000","-99.000","25.400","","20.700",""
"C0E870","2020-04-03 00:00:00","34.000","61.000","0.600","18.200","0.990","1017.000","","11.000","-99.000","-99.000","-99.000","20.900","","16.400",""
"C0M800","2020-04-03 00:00:00","440.000","0.000","0.000","19.300","0.960","968.000","","3.000","-99.000","-99.000","-99.000","24.500","","18.800",""
"C0A570","2020-04-03 00:00:00","360.000","235.000","1.300","15.800","0.990","978.600","","9.500","-99.000","-99.000","-99.000","19.400","","13.800",""
"C0S790","2020-04-03 00:00:00","236.000","336.000","0.700","19.300","0.880","994.300","","0.000","-99.000","-99.000","-99.000","24.200","","17.100",""
